# Directed Node Graph 
# Autonomous systems (graph is undirected, each edge is saved twice)
# Nodes: 6474    Edges: 26467
# SrcNId	DstNId
1	3
1	6
1	32
1	33
1	46
1	48
1	63
1	70
1	71
1	86
1	89
1	90
1	109
1	144
1	157
1	174
1	189
1	199
1	200
1	201
1	202
1	209
1	226
1	286
1	293
1	297
1	600
1	625
1	668
1	701
1	763
1	1236
1	1239
1	1311
1	1668
1	1673
1	1691
1	1740
1	1746
1	1800
1	1830
1	1833
1	2024
1	2041
1	2110
1	2497
1	2511
1	2548
1	2551
1	2637
1	2685
1	2714
1	2828
1	2856
1	2914
1	3126
1	3134
1	3147
1	3209
1	3257
1	3292
1	3303
1	3356
1	3360
1	3404
1	3450
1	3479
1	3491
1	3495
1	3527
1	3549
1	3561
1	3578
1	3614
1	3703
1	3720
1	3737
1	3749
1	3796
1	3847
1	3900
1	3914
1	3932
1	3967
1	4000
1	4006
1	4010
1	4200
1	4247
1	4257
1	4278
1	4355
1	4436
1	4454
1	4527
1	4544
1	4550
1	4565
1	4574
1	4583
1	4648
1	4911
1	4957
1	4963
1	5000
1	5006
1	5390
1	5413
1	5462
1	5646
1	5650
1	5662
1	5684
1	5691
1	5693
1	5696
1	5723
1	5727
1	5736
1	5737
1	5760
1	5779
1	5790
1	6070
1	6073
1	6113
1	6139
1	6150
1	6172
1	6201
1	6221
1	6227
1	6245
1	6261
1	6300
1	6301
1	6316
1	6320
1	6350
1	6352
1	6379
1	6425
1	6432
1	6433
1	6453
1	6461
1	6467
1	6469
1	6536
1	6541
1	6553
1	6555
1	6566
1	6597
1	6607
1	6633
1	6650
1	6652
1	6716
1	6774
1	6847
1	6922
1	6932
1	6966
1	6989
1	6993
1	6995
1	7006
1	7018
1	7020
1	7021
1	7037
1	7047
1	7055
1	7062
1	7128
1	7140
1	7152
1	7157
1	7161
1	7170
1	7176
1	7182
1	7192
1	7193
1	7203
1	7219
1	7260
1	7269
1	7284
1	7318
1	7323
1	7346
1	7355
1	7374
1	7384
1	7386
1	7392
1	7410
1	7418
1	7426
1	7430
1	7473
1	7754
1	7756
1	7800
1	7823
1	7862
1	7923
1	8002
1	8009
1	8015
1	8016
1	8017
1	8048
1	8070
1	8076
1	8084
1	8090
1	8091
1	8092
1	8097
1	8112
1	8113
1	8114
1	8118
1	8120
1	8132
1	8137
1	8146
1	8161
1	8563
1	8750
1	8918
1	8938
1	8955
1	8959
1	9156
1	9320
1	10257
1	10266
1	10273
1	10302
1	10317
1	10355
1	10361
1	10377
1	10406
1	10437
1	10487
1	10506
1	10536
1	10558
1	10559
1	10581
1	10615
1	10616
1	10657
1	10663
1	10700
1	10719
1	10725
1	10750
1	10794
1	10809
1	10827
1	10839
1	10910
1	10911
1	10912
1	10913
1	10928
1	10934
1	10946
1	11015
1	11027
1	11039
1	11086
1	11104
1	11145
1	11146
1	11147
1	11148
1	11188
1	11207
1	11221
1	11285
1	11291
1	11302
1	11324
1	11329
1	11341
1	11347
1	11354
1	11417
1	11435
1	11443
1	11485
1	11499
1	11513
1	11524
1	11527
1	11552
1	11572
1	11573
1	11661
1	11663
1	11674
1	11680
1	11710
1	11721
1	11729
1	11765
1	11784
1	11817
1	11839
1	11841
1	11853
1	11854
1	11855
1	11860
1	11869
1	11901
1	11928
1	12003
1	12007
1	12012
1	12013
1	12025
1	12037
1	12073
1	12079
1	12114
1	12134
1	12178
1	12179
1	12184
1	12206
1	12207
1	12208
1	12209
1	12211
1	12214
1	12216
1	12228
1	12236
1	12273
1	13315
1	13358
1	13361
1	13373
1	13374
1	13384
1	13400
1	13461
1	13498
1	13506
1	13599
1	13623
1	13646
1	13649
1	13716
1	13755
1	13789
1	13790
1	13806
1	13832
1	13845
1	13850
1	13857
1	13865
1	13920
1	13942
1	14045
1	14098
1	14150
1	14184
1	14473
701	1
701	17
701	33
701	46
701	49
701	71
701	80
701	81
701	90
701	101
701	109
701	111
701	140
701	157
701	174
701	200
701	209
701	286
701	293
701	297
701	549
701	557
701	559
701	577
701	600
701	646
701	690
701	701
701	702
701	703
701	705
701	715
701	814
701	816
701	852
701	1225
701	1239
701	1280
701	1294
701	1663
701	1666
701	1668
701	1673
701	1680
701	1691
701	1740
701	1744
701	1746
701	1755
701	1760
701	1763
701	1785
701	1800
701	1830
701	1832
701	1833
701	1975
701	1982
701	2003
701	2011
701	2015
701	2019
701	2033
701	2041
701	2052
701	2140
701	2150
701	2163
701	2276
701	2379
701	2497
701	2516
701	2548
701	2551
701	2647
701	2648
701	2685
701	2697
701	2711
701	2712
701	2749
701	2825
701	2828
701	2853
701	2856
701	2860
701	2899
701	2901
701	2914
701	2917
701	2918
701	2941
701	3079
701	3087
701	3104
701	3113
701	3126
701	3132
701	3257
701	3286
701	3300
701	3356
701	3360
701	3378
701	3384
701	3407
701	3450
701	3451
701	3454
701	3462
701	3479
701	3491
701	3493
701	3495
701	3502
701	3505
701	3549
701	3554
701	3557
701	3561
701	3563
701	3569
701	3578
701	3585
701	3591
701	3593
701	3602
701	3614
701	3623
701	3625
701	3655
701	3670
701	3674
701	3680
701	3701
701	3703
701	3728
701	3733
701	3739
701	3741
701	3742
701	3751
701	3768
701	3799
701	3801
701	3803
701	3816
701	3820
701	3831
701	3840
701	3847
701	3850
701	3855
701	3900
701	3914
701	3932
701	3950
701	3955
701	3957
701	3967
701	3994
701	4006
701	4045
701	4136
701	4150
701	4151
701	4183
701	4187
701	4195
701	4200
701	4208
701	4223
701	4230
701	4231
701	4243
701	4257
701	4261
701	4271
701	4277
701	4278
701	4279
701	4286
701	4306
701	4307
701	4309
701	4313
701	4314
701	4323
701	4355
701	4356
701	4364
701	4372
701	4374
701	4376
701	4390
701	4393
701	4436
701	4444
701	4449
701	4452
701	4455
701	4456
701	4465
701	4496
701	4500
701	4513
701	4515
701	4519
701	4521
701	4530
701	4536
701	4539
701	4540
701	4543
701	4544
701	4546
701	4565
701	4566
701	4569
701	4573
701	4574
701	4581
701	4583
701	4587
701	4592
701	4596
701	4637
701	4648
701	4694
701	4722
701	4786
701	4787
701	4854
701	4911
701	4913
701	4922
701	4923
701	4924
701	4926
701	4927
701	4940
701	4952
701	4958
701	4959
701	4960
701	4966
701	4969
701	4977
701	4979
701	4986
701	4996
701	5000
701	5002
701	5003
701	5006
701	5009
701	5015
701	5024
701	5048
701	5049
701	5050
701	5055
701	5056
701	5076
701	5079
701	5080
701	5089
701	5093
701	5097
701	5106
701	5108
701	5113
701	5390
701	5462
701	5486
701	5496
701	5533
701	5540
701	5552
701	5580
701	5594
701	5642
701	5645
701	5646
701	5647
701	5648
701	5650
701	5662
701	5668
701	5670
701	5683
701	5684
701	5693
701	5697
701	5702
701	5703
701	5704
701	5705
701	5706
701	5713
701	5714
701	5727
701	5737
701	5750
701	5752
701	5756
701	5757
701	5760
701	5762
701	5763
701	5772
701	5774
701	5778
701	5779
701	5789
701	5798
701	5939
701	5977
701	6062
701	6064
701	6065
701	6066
701	6067
701	6071
701	6076
701	6078
701	6082
701	6091
701	6095
701	6103
701	6104
701	6113
701	6128
701	6130
701	6139
701	6147
701	6163
701	6172
701	6178
701	6179
701	6181
701	6195
701	6197
701	6198
701	6201
701	6203
701	6220
701	6223
701	6224
701	6225
701	6226
701	6227
701	6233
701	6234
701	6245
701	6248
701	6249
701	6254
701	6261
701	6266
701	6283
701	6295
701	6297
701	6300
701	6301
701	6302
701	6303
701	6309
701	6314
701	6315
701	6316
701	6318
701	6319
701	6321
701	6331
701	6334
701	6335
701	6345
701	6347
701	6352
701	6357
701	6359
701	6364
701	6365
701	6371
701	6372
701	6376
701	6380
701	6381
701	6382
701	6383
701	6384
701	6385
701	6386
701	6387
701	6388
701	6395
701	6404
701	6405
701	6410
701	6411
701	6419
701	6423
701	6429
701	6430
701	6431
701	6432
701	6433
701	6437
701	6448
701	6451
701	6453
701	6456
701	6459
701	6461
701	6467
701	6468
701	6469
701	6474
701	6475
701	6477
701	6479
701	6480
701	6482
701	6485
701	6499
701	6503
701	6504
701	6506
701	6507
701	6521
701	6524
701	6530
701	6532
701	6533
701	6535
701	6541
701	6544
701	6550
701	6553
701	6554
701	6555
701	6563
701	6566
701	6569
701	6570
701	6575
701	6582
701	6588
701	6589
701	6594
701	6597
701	6601
701	6614
701	6619
701	6620
701	6623
701	6629
701	6630
701	6633
701	6634
701	6641
701	6644
701	6646
701	6650
701	6652
701	6653
701	6660
701	6665
701	6716
701	6745
701	6762
701	6790
701	6844
701	6912
701	6913
701	6921
701	6932
701	6933
701	6938
701	6941
701	6943
701	6944
701	6948
701	6949
701	6966
701	6973
701	6975
701	6981
701	6983
701	6991
701	6993
701	7014
701	7015
701	7016
701	7018
701	7019
701	7022
701	7023
701	7029
701	7035
701	7041
701	7042
701	7046
701	7047
701	7053
701	7064
701	7065
701	7078
701	7087
701	7089
701	7105
701	7106
701	7113
701	7115
701	7131
701	7144
701	7146
701	7147
701	7148
701	7152
701	7157
701	7161
701	7165
701	7168
701	7178
701	7182
701	7183
701	7194
701	7203
701	7206
701	7207
701	7215
701	7220
701	7223
701	7224
701	7227
701	7253
701	7256
701	7260
701	7261
701	7269
701	7281
701	7284
701	7296
701	7301
701	7303
701	7314
701	7317
701	7318
701	7324
701	7332
701	7334
701	7336
701	7341
701	7342
701	7343
701	7346
701	7351
701	7354
701	7355
701	7358
701	7360
701	7362
701	7368
701	7372
701	7381
701	7384
701	7395
701	7410
701	7420
701	7425
701	7430
701	7434
701	7435
701	7442
701	7453
701	7458
701	7466
701	7469
701	7474
701	7498
701	7515
701	7545
701	7617
701	7629
701	7633
701	7726
701	7731
701	7741
701	7744
701	7748
701	7751
701	7753
701	7754
701	7762
701	7764
701	7766
701	7767
701	7770
701	7772
701	7778
701	7785
701	7790
701	7792
701	7795
701	7799
701	7809
701	7819
701	7832
701	7833
701	7837
701	7838
701	7843
701	7849
701	7851
701	7859
701	7862
701	7876
701	7881
701	7891
701	7892
701	7893
701	7894
701	7895
701	7900
701	7902
701	7909
701	7915
701	7921
701	7922
701	7923
701	7924
701	7959
701	7963
701	8000
701	8005
701	8006
701	8009
701	8011
701	8012
701	8015
701	8021
701	8022
701	8023
701	8038
701	8039
701	8047
701	8048
701	8058
701	8060
701	8061
701	8062
701	8063
701	8070
701	8074
701	8077
701	8079
701	8080
701	8081
701	8082
701	8085
701	8087
701	8088
701	8090
701	8097
701	8098
701	8100
701	8105
701	8118
701	8120
701	8125
701	8126
701	8129
701	8130
701	8136
701	8137
701	8138
701	8143
701	8146
701	8154
701	8156
701	8158
701	8164
701	8172
701	8175
701	8182
701	8188
701	8193
701	8210
701	8244
701	8262
701	8359
701	8517
701	8551
701	8563
701	8672
701	8697
701	8750
701	8751
701	8777
701	8788
701	8814
701	8837
701	8895
701	8918
701	8960
701	9010
701	9071
701	9116
701	9154
701	9269
701	9318
701	9512
701	9548
701	9656
701	9739
701	10240
701	10248
701	10249
701	10251
701	10265
701	10266
701	10271
701	10275
701	10288
701	10296
701	10300
701	10305
701	10316
701	10317
701	10333
701	10334
701	10337
701	10338
701	10339
701	10342
701	10347
701	10361
701	10363
701	10367
701	10368
701	10379
701	10382
701	10383
701	10389
701	10397
701	10404
701	10409
701	10416
701	10419
701	10422
701	10424
701	10431
701	10434
701	10437
701	10440
701	10447
701	10453
701	10455
701	10457
701	10459
701	10461
701	10466
701	10467
701	10469
701	10471
701	10473
701	10477
701	10484
701	10487
701	10499
701	10503
701	10506
701	10512
701	10514
701	10515
701	10517
701	10530
701	10532
701	10534
701	10536
701	10537
701	10539
701	10541
701	10552
701	10553
701	10559
701	10564
701	10571
701	10576
701	10577
701	10584
701	10585
701	10603
701	10604
701	10613
701	10614
701	10615
701	10616
701	10625
701	10633
701	10634
701	10635
701	10637
701	10647
701	10648
701	10650
701	10651
701	10655
701	10657
701	10663
701	10665
701	10668
701	10669
701	10672
701	10673
701	10674
701	10680
701	10683
701	10694
701	10695
701	10705
701	10717
701	10721
701	10724
701	10731
701	10735
701	10738
701	10741
701	10745
701	10754
701	10756
701	10760
701	10762
701	10769
701	10780
701	10782
701	10788
701	10789
701	10790
701	10791
701	10794
701	10799
701	10800
701	10801
701	10805
701	10809
701	10819
701	10825
701	10826
701	10827
701	10828
701	10829
701	10830
701	10831
701	10832
701	10833
701	10835
701	10838
701	10839
701	10843
701	10846
701	10849
701	10851
701	10853
701	10857
701	10860
701	10866
701	10873
701	10882
701	10884
701	10894
701	10907
701	10910
701	10911
701	10912
701	10913
701	10916
701	10917
701	10925
701	10926
701	10928
701	10931
701	10932
701	10933
701	10934
701	10939
701	10944
701	10956
701	10960
701	10967
701	10970
701	10971
701	10975
701	10979
701	10980
701	10989
701	10991
701	10995
701	10998
701	11006
701	11009
701	11010
701	11011
701	11012
701	11016
701	11023
701	11027
701	11030
701	11035
701	11040
701	11041
701	11042
701	11057
701	11074
701	11079
701	11080
701	11089
701	11092
701	11094
701	11100
701	11104
701	11111
701	11116
701	11118
