0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31

7,9
7,16
7,23
23,0
23,5
23,6
23,9
23,13
23,14
23,29
0,3
0,5
0,6
0,9
0,13
0,31
31,5
31,9
31,13
31,23
31,27
9,0
9,3
9,5
9,17
9,23
9,31
5,3
5,13
5,14
5,17
5,23
14,0
14,3
14,7
14,10
14,17
14,22
14,31
13,3
13,9
13,23
17,5
17,7
17,13
17,20
17,26
17,31
3,14
3,16
3,22
30,2
30,21
2,1
2,6
2,14
1,9
1,11
1,20
20,11
20,14
20,17
20,28
11,3
11,7
11,26
26,4
26,16
4,8
4,10
4,13
16,6
16,13
16,23
6,0
6,17
6,23
6,27
6,28
6,29
18,26
28,0
28,1
8,14
22,1
22,16
22,28
29,0
29,3
29,7
12,3
12,20
24,4
10,5
10,6
25,12
21,17
21,27
15,12
15,24
