0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31

0,9
0,31
1,9
1,11
1,20
3,16
3,22
4,0
4,10
5,3
5,14
6,0
6,28
6,29
7,23
8,0
8,14
9,5
9,17
9,23
10,5
10,6
10,28
11,3
11,7
11,26
12,20
13,9
13,23
14,23
15,12
15,24
16,6
16,13
16,23
17,7
18,26
20,17
21,6
21,17
21,27
21,31
22,1
22,28
23,0
24,4
24,8
24,12
25,3
25,12
26,4
26,16
29,0
29,3
29,7
29,23
30,1
30,2
30,14
30,21
31,5
31,13
31,23
