0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31

0;17,62.484929,25,62.911497,29,63.567665,20,63.916194,16,66.519554,24,67.452952,15,67.542748,21,67.988804,31,69.761699,27,69.905914,7,70.846882,3,71.284154,6,72.249052
1;4,84.203961,14,84.392329,0,87.093161
2;29,15.976752,20,16.886830,21,18.614164,31,19.031225,27,19.369281,25,19.672000,16,19.684426,30,19.967804,3,21.143548,24,23.083558
3;23,21.275151,22,21.350518,28,21.354186,27,22.014169,5,22.063628,30,22.672761,17,22.724244,3,22.771559,25,22.772410,24,23.045156,1,23.397010,29,23.825167,19,24.272883,21,24.507075,31,24.669856,13,25.772079,20,26.082521,9,26.097618,16,26.180903,15,26.227262,7,27.858812,18,28.025215,6,28.234997
4;29,71.470997,20,72.318939,21,72.387634,31,72.489782,27,72.619603,15,73.236624,3,73.239439,30,73.503776,25,74.304374,7,75.629316,6,75.792697,5,76.151500,16,76.165631,24,78.191623
5;6,13.042726,24,13.357241,20,13.913515,21,13.948276,7,14.106082,31,14.511007,27,15.103611,3,15.151268,5,16.553228,15,17.216261,25,17.544399,13,17.781232,16,18.353993,30,18.609141,9,19.519159,18,19.532135,1,21.287643
6;7,9.099034,6,9.854269,13,10.837233,31,11.423799,5,11.927902,4,12.104405,9,12.118237,29,12.446259,24,12.545743,0,12.695852,20,13.362590,1,13.391893,19,13.446668,21,13.461979,14,13.782501,27,13.840378,25,14.028658,3,15.388601,30,15.408267,15,15.620782,16,16.491115,18,17.585322
7;16,27.458815,24,27.831728,15,29.573088,21,30.002896,31,30.398038,7,30.470053,27,30.658735,3,30.934983,30,31.216531,6,31.850512,25,32.114226,20,32.443581,5,33.885120,13,35.242970
8;12,0.299960,8,1.548998,28,6.752133,23,7.857279,22,8.469505,17,8.550880,27,9.069368,3,9.272929,5,9.653103,29,10.222594
9;28,41.429326,23,44.799240,17,44.862351,1,44.970712,13,45.011214,31,45.270181,19,45.297302,5,45.664578,27,45.799702,9,45.833231,25,46.118448,3,46.215521,24,46.303068,21,46.409787,29,46.562334,7,46.675131,6,46.886645,22,46.966731,15,47.071135,20,47.071604,18,47.375125,16,47.618543,30,48.827047,4,49.018643,14,50.238006
10;8,2.687629,28,3.250939,23,8.116273,27,8.226392,15,8.605015,22,8.843596,17,8.981224,25,9.710781,29,9.823503,24,9.950158,16,9.968105,5,10.560233,21,10.651480,3,10.834626,31,11.069228,20,11.882700,1,12.029903,13,12.118157,19,12.213435,7,12.655164
11;25,70.981959,16,71.236737,15,74.159317,24,75.608514,21,76.016178,31,76.139519,7,76.318173,5,76.418131,27,77.797455,13,77.834263,6,77.896630,30,78.639385,20,78.713883,3,79.594885
12;8,93.789730,28,93.859208,23,94.465009,17,94.971391,22,94.986003,27,95.066431,30,95.070138,3,95.118369,25,95.185205,1,95.244521,24,95.369308,21,95.491682,13,95.738868,16,96.658411,31,96.720810,15,97.038061,5,97.118685,29,97.331416,19,98.213663,7,99.072078,6,99.170201
13;9,23.991080,1,24.022855,13,24.125961,31,24.252092,7,24.312120,27,24.802303,6,24.850452,24,25.247643,3,25.501521,5,26.119281,25,26.124530,19,26.275495,21,26.330643,16,26.352405,29,26.456555,20,26.673519,15,27.027199,18,27.379315,30,27.507838
14;29,18.089591,20,18.384526,21,19.428878,31,22.999616,27,23.486086,3,23.632778,7,24.031372,6,24.124942,25,24.442947,30,24.486789,5,24.490777,15,24.828353,16,25.531984
15;6,31.753954,24,31.827493,21,32.017219,29,33.818861,31,33.875466,27,33.931294,25,34.154498,16,34.180082,3,34.191152,30,34.709603,7,34.764335,20,35.551727,5,37.937154
16;28,88.699066,23,89.707619,17,89.714501,5,89.868805,22,90.108694,1,90.135055,19,90.518872,29,90.656549,25,90.767510,13,90.767558,27,90.854920,3,90.956923,31,91.476253,21,92.075116,16,92.852423,15,93.340109,7,93.441759,6,94.014670,20,94.592017,30,95.639322,9,96.638292,18,97.975454,12,98.497873
17;30,65.205869,21,66.576106,31,67.906430,27,68.020658,25,68.185841,3,68.235867,16,68.860711,7,69.096349,6,69.199058,5,69.755457,24,70.002851,29,70.841590,15,71.090550,20,71.213647
18;28,15.033506,23,17.898736,22,18.012920,27,18.590705,25,18.904235,17,19.006551,1,19.091762,3,19.267650,13,19.419866,16,19.571249,5,19.606197,19,19.923692,31,19.957927,29,20.155694,21,20.291101,20,20.528899,24,22.021395,15,22.971044,7,24.284563
19;2,68.134621,0,72.080784
20;2,38.772534,0,39.207356
21;2,49.974103,0,51.026009
22;6,14.753300,24,15.162062,20,16.100693,21,16.179807,31,16.237002,7,16.785291,27,17.129352,25,17.147161,16,17.334122,15,17.380500,3,17.463429,5,18.458548,4,19.229934,14,19.648766
23;8,58.718662,28,61.843812,23,66.904941,22,67.381186,27,67.593124,25,67.891922,30,68.002435,17,68.556078,3,68.582130,21,68.591387
24;8,84.557566,28,85.300847,23,87.790715,27,88.341626,3,88.989410,17,89.241436,15,89.397988,29,89.462755,22,89.630909,25,89.655715,16,90.021594,5,90.094231,30,90.503096,21,91.274799,24,91.938344,31,91.944836,7,92.063216,6,92.798405,1,93.324786,19,93.685020
25;31,95.540883,29,96.434787,7,96.500737,27,97.044968,3,97.079137,6,97.330063,25,97.727281,5,98.085355,16,98.321279,20,98.502511,13,99.669189,30,99.689164
26;9,55.614614,18,55.783064,1,56.603159,13,56.737370,19,56.998800,31,57.796735,27,58.583587,30,59.091662,15,59.198394,3,60.008898,21,60.074346,29,60.286431,20,60.846179,7,60.985477,6,61.110268,5,61.368569,25,61.507895,16,61.602390,4,63.280926
27;7,14.815156,5,14.975489,6,19.960332,20,20.811289,24,22.549746,21,22.700455,31,23.834040,27,24.007819,15,24.622695,3,24.772516
28;30,98.330510,21,98.414915
29;18,40.876669,30,42.633435,15,48.878230,21,49.166935,31,50.609503
30;21,14.181977,31,14.297521,7,14.584736,6,14.590333,5,16.964302,20,17.724330,29,18.457261,13,18.857481,9,19.178416,27,19.702384,18,19.723364,25,19.939364,16,21.078192,3,21.184673,30,21.271385,4,21.984043,0,22.023944,1,22.123642,24,22.226535,19,22.696646,14,24.047835
31;30,56.489868,21,57.292115,31,57.673739,27,58.182644,7,58.281732,6,58.522326,24,58.545018,5,58.700449,3,59.606662,15,59.774932,29,59.983374,20,60.382693,25,65.001569
32;27,25.212641,25,26.238118,30,26.486981,15,27.770720,16,28.973538,3,29.169689,24,29.373851,21,30.262564,31,30.614641,7,35.028158,5,35.084523
33;27,48.851455,24,49.063035,30,49.868693,21,50.974116,3,51.033473,31,51.591617,7,52.356322,6,52.728864,15,53.403813,20,54.872791,25,54.962753,5,55.058606,16,55.762145,4,56.591922,14,56.720201
34;6,46.403053,24,46.413940,21,46.461234,31,47.037020,27,47.763689,15,48.036672,25,48.068062,30,48.131276,16,48.664462,3,48.715363,7,49.655127,5,50.480682,4,51.532044,14,53.641556,13,54.021558,20,54.798931,0,55.498307
35;31,96.109514,29,96.849896,27,96.975111,21,97.097497,3,97.512280,7,97.810150,25,97.817821,24,98.099488,5,98.387113,16,98.683714
36;26,12.603081,30,14.771607,21,15.934276,31,16.798760,7,17.113624,6,17.296190,5,17.342160,13,17.411115,20,17.745761,27,18.246062,3,18.366790,25,18.881428,29,18.887274,24,19.329595
37;6,19.975720,24,20.031858,21,20.942595,7,20.985476,20,21.285835,5,21.643635,31,22.410222,27,24.094072,4,24.569562,15,24.572200,30,24.764655,0,24.845250,3,26.127964,14,26.986476,25,27.587081,16,27.700096
38;4,31.924967,14,32.171905,0,32.645073
39;12,62.926916,8,66.239688,28,71.095307
40;31,12.671216,29,12.683842,20,13.577413,27,13.750369,25,14.497331,7,14.882116,3,15.082714,6,15.514202,16,15.611323,30,17.110640,13,17.224023,5,17.509967,21,18.327180,9,19.243429,18,19.886576,15,20.044234,1,20.185623,4,20.378397,14,21.348400
41;29,65.125374,20,68.276241,21,72.671258,31,73.668183,7,74.111314
